"vectorZ","resultados"
55.84184986283171,51.69781943780378+6.821881769209206*I
4.5121765533123295,47.02045502733906
64.75500960366281,52.1455708098182+6.821881769209206*I
55.91057822488966,51.70161514417535+6.821881769209206*I
3.8819985632646308,47.09601638915561
39.425247949959726,50.557027977067165+6.821881769209206*I
87.52921451996781,53.00930589742131+6.821881769209206*I
55.43239871220479,51.675080296169895+6.821881769209206*I
58.140798567115326,51.82161381256755+6.821881769209206*I
74.92017615307853,52.570465538847024+6.821881769209206*I
8.727138729606736,45.765636053737936
93.01531963352667,53.17731620122408+6.821881769209206*I
24.434319076507023,48.617519949851165+6.821881769209206*I
67.84030711120639,52.282781225121326+6.821881769209206*I
73.58719706931146,52.51891038692196+6.821881769209206*I
86.52739450475997,52.977282286605146+6.821881769209206*I
3.1978323286595156,47.14130489878489
16.29862579489803,45.93446153371886+6.821881769209206*I
63.543284216089916,52.089433203365736+6.821881769209206*I
34.76994004026716,50.10270864800093+6.821881769209206*I
76.45667316701835,52.62852721688408+6.821881769209206*I
76.89097659653152,52.64468296851493+6.821881769209206*I
78.41298209160442,52.70044201006701+6.821881769209206*I
67.09414939129337,52.250319041700635+6.821881769209206*I
44.63010479954005,50.98047260717753+6.821881769209206*I
63.89167582986818,52.10571022772746+6.821881769209206*I
6.452295876497672,46.61846054978318
64.12101761849141,52.116364561918296+6.821881769209206*I
49.88942593335099,51.34381864809707+6.821881769209206*I
28.40355561266412,49.29925586891862+6.821881769209206*I
76.29053240231883,52.622317515399324+6.821881769209206*I
55.715913420903775,51.69084854073056+6.821881769209206*I
94.24728588928795,53.21344402044958+6.821881769209206*I
87.3074036196829,53.00225317933938+6.821881769209206*I
16.457466030838845,46.02982362953572+6.821881769209206*I
43.35380697985909,50.88333075491332+6.821881769209206*I
4.183850596147693,47.063473507116825
46.263761051298644,51.09934052330978+6.821881769209206*I
33.50281723332512,49.96266570794323+6.821881769209206*I
10.676049407391858,44.342994867125924
48.95656590867304,51.28326057078003+6.821881769209206*I
1.2962018695203739,46.84500611681674
4.831885735733678,46.97139155096227
55.70754423848311,51.69038456243552+6.821881769209206*I
27.287050664732604,49.12608920952893+6.821881769209206*I
53.36274599688019,51.556701587509096+6.821881769209206*I
21.50833999525696,47.953369773824306+6.821881769209206*I
24.441425453119066,48.618929546003116+6.821881769209206*I
37.16311811561306,50.346912496790175+6.821881769209206*I
22.24951208348807,48.13968655540751+6.821881769209206*I
57.32373422891848,51.77834952963876+6.821881769209206*I
10.175876899835984,44.821732913074484
73.72145791242818,52.5241544398575+6.821881769209206*I
56.8696856966871,51.75396310882444+6.821881769209206*I
80.66589084709659,52.7806281564471+6.821881769209206*I
74.58938562862585,52.55777634818331+6.821881769209206*I
30.15846652728476,49.548629626733565+6.821881769209206*I
62.58670130888592,52.04415849450636+6.821881769209206*I
30.20155410056205,49.55444055220433+6.821881769209206*I
24.569469057039385,48.644187904488035+6.821881769209206*I
29.419215245904837,49.44669535344802+6.821881769209206*I
1.2545948677176142,46.82111159180978
10.701950043934232,44.31474041433226
14.57207343448917,44.520091529840364+6.821881769209206*I
12.240743715526989,40.78561683985933
90.43875979191972,53.09990690637032+6.821881769209206*I
69.65642152828389,52.35998087043234+6.821881769209206*I
91.42517224804749,53.1298452304664+6.821881769209206*I
27.303540304794225,49.12873897185074+6.821881769209206*I
27.294154591050727,49.12723111331531+6.821881769209206*I
5.682730260476546,46.80790957210223
82.41063043322399,52.84090302632434+6.821881769209206*I
27.146587476447777,49.10339941887793+6.821881769209206*I
48.93398511186194,51.28177554341967+6.821881769209206*I
75.55824665298226,52.594750931130356+6.821881769209206*I
45.5706890059698,51.04962849567081+6.821881769209206*I
54.12173484607234,51.60079867631171+6.821881769209206*I
2.732023274565009,47.14393644903606
65.71946902479073,52.18932221156613+6.821881769209206*I
8.274811381979234,45.979680121866046
12.568699907524334,35.80514324288085
93.06133730328767,53.17867575398971+6.821881769209206*I
30.0927064913746,49.5397340383381+6.821881769209206*I
82.09969521381169,52.830273735983724+6.821881769209206*I
67.2757905324747,52.258262555613236+6.821881769209206*I
26.91147329132808,49.06493746307767+6.821881769209206*I
25.164152601946356,48.75815576486042+6.821881769209206*I
90.46122191211728,53.10059291989006+6.821881769209206*I
67.52648353939668,52.269182262364716+6.821881769209206*I
80.29513027891139,52.76761826204985+6.821881769209206*I
45.19598601682361,51.02231696953476+6.821881769209206*I
33.38928800279518,49.94971316783378+6.821881769209206*I
36.91163630694422,50.32238190557746+6.821881769209206*I
29.158088592135783,49.40963777787096+6.821881769209206*I
62.98772685426954,52.06324411053462+6.821881769209206*I
29.03394757942894,49.39181942561926+6.821881769209206*I
3.036026091442608,47.14522729688346
95.00511965923485,53.23539392145427+6.821881769209206*I
61.84783514771658,52.008587563529076+6.821881769209206*I
75.40037894905183,52.58876561542226+6.821881769209206*I
51.48538180113462,51.443995588513104+6.821881769209206*I
0.9703720761187213,46.59863594877996
99.29008278036676,53.355772159714306+6.821881769209206*I
91.42049051095088,53.12970403587188+6.821881769209206*I
80.69043618730981,52.78148691337211+6.821881769209206*I
51.388666141210194,51.43804282193386+6.821881769209206*I
97.70549168961486,53.311974756657534+6.821881769209206*I
76.13014106319565,52.6163071511626+6.821881769209206*I
75.02921115767168,52.57463323408334+6.821881769209206*I
76.98754119440358,52.648260101116115+6.821881769209206*I
77.936666994765,52.6831335144645+6.821881769209206*I
30.196534898274706,49.55376436434734+6.821881769209206*I
22.59102969121129,48.22091172645385+6.821881769209206*I
96.66595412950096,53.2827901849241+6.821881769209206*I
34.092988675317486,50.02890246546161+6.821881769209206*I
53.08664106987939,51.540455720847135+6.821881769209206*I
67.893231560836,52.28506693129078+6.821881769209206*I
36.3071039876221,50.26237266067604+6.821881769209206*I
67.49964198365527,52.26801549964378+6.821881769209206*I
6.672052895068447,46.55664352796117
69.35849835124884,52.34748814054925+6.821881769209206*I
51.89305645717283,51.46892592873374+6.821881769209206*I
30.515446849308148,49.596357231893705+6.821881769209206*I
27.21719331255599,49.114831359557286+6.821881769209206*I
23.036020624617024,48.322796855639396+6.821881769209206*I
24.567709818536287,48.64384265383447+6.821881769209206*I
35.60204314909828,50.19044635585431+6.821881769209206*I
64.18737804744995,52.11943850707308+6.821881769209206*I
86.08325351571293,52.962944154793135+6.821881769209206*I
40.99503011046667,50.69276436850666+6.821881769209206*I
76.4920356857454,52.62984682328086+6.821881769209206*I
7.0812598909633095,46.4315921561558
39.09168681277262,50.52717317145203+6.821881769209206*I
83.85845916978718,52.889773791906975+6.821881769209206*I
75.73789508000485,52.60154360584001+6.821881769209206*I
93.33514832833097,53.186748987608816+6.821881769209206*I
84.06020243959941,52.89650359653146+6.821881769209206*I
89.27841264964786,53.06419303101826+6.821881769209206*I
81.51446492715459,52.810136464795725+6.821881769209206*I
77.0109632337304,52.649126928208425+6.821881769209206*I
58.58041336074294,51.844570524816035+6.821881769209206*I
30.484318807319994,49.59223272721375+6.821881769209206*I
66.52527714719625,52.225267408652705+6.821881769209206*I
6.032917183602677,46.7267537637606
3.5708204847543072,47.12189691575191
4.267351828570895,47.05326375681722
92.62881131932363,53.165865883413524+6.821881769209206*I
54.198897601292146,51.60523652548369+6.821881769209206*I
48.98426830705759,51.28508116332852+6.821881769209206*I
17.232410397608703,46.44633293904519+6.821881769209206*I
8.901832628208965,45.674961708864956
88.45939779602418,53.038653397890386+6.821881769209206*I
29.996671361191204,49.52668400914437+6.821881769209206*I
52.10695776897603,51.48190324727974+6.821881769209206*I
17.309722688877557,46.48410155197962+6.821881769209206*I
74.5796467698315,52.557401727614426+6.821881769209206*I
31.9884893242982,49.78391089548126+6.821881769209206*I
91.05343896268778,53.118607715415905+6.821881769209206*I
86.02372941978837,52.96101587737116+6.821881769209206*I
79.05392400268389,52.72353386124778+6.821881769209206*I
86.15888881314808,52.96539207087364+6.821881769209206*I
72.94253510484364,52.493567227296666+6.821881769209206*I
60.80911388790355,51.95766259075552+6.821881769209206*I
12.139317956287869,41.315015754095405
19.818441995324292,47.46519341391224+6.821881769209206*I
91.13348074882092,53.12103193876726+6.821881769209206*I
23.732736054541732,48.47414230180274+6.821881769209206*I
14.44987377151925,44.37728161729467+6.821881769209206*I
58.05901770904251,51.81731867832489+6.821881769209206*I
45.52214939896547,51.046107992471896+6.821881769209206*I
97.86901556674039,53.31653264431754+6.821881769209206*I
40.90298696532619,50.6850132582457+6.821881769209206*I
79.22323945123892,52.7295963410663+6.821881769209206*I
40.243999997298516,50.62877770338705+6.821881769209206*I
95.15740965379243,53.239780117758286+6.821881769209206*I
7.821712408986087,46.1683920110896
26.766905679342386,49.04098071283187+6.821881769209206*I
22.48218331286526,48.19532037269425+6.821881769209206*I
94.81156693885447,53.22980740274549+6.821881769209206*I
45.491282897766894,51.04386660319982+6.821881769209206*I
48.55064031134134,51.256423294854166+6.821881769209206*I
32.639743345234024,49.86241094251803+6.821881769209206*I
47.02582122049975,51.15283727095658+6.821881769209206*I
13.755938954328144,43.33178218953286+6.821881769209206*I
41.04765352898258,50.69718468772468+6.821881769209206*I
63.86351329066687,52.104398600430486+6.821881769209206*I
77.71771669634825,52.67513436703821+6.821881769209206*I
16.158128189321246,45.846731978145655+6.821881769209206*I
5.631491248880678,46.81909759336095
55.589491944710886,51.68383023441824+6.821881769209206*I
59.085796691257514,51.870690924596055+6.821881769209206*I
73.17314441840179,52.50266429323824+6.821881769209206*I
17.973591546241963,46.785683503339285+6.821881769209206*I
4.096497202226402,47.073604528088914
68.26610531461822,52.30110839842751+6.821881769209206*I
51.0749210511365,51.418629404035705+6.821881769209206*I
74.02235613970146,52.53586499383929+6.821881769209206*I
86.87794196673048,52.98853744577763+6.821881769209206*I
86.78521283840658,52.98556540207724+6.821881769209206*I
24.624980699663084,48.65505680298217+6.821881769209206*I
37.30293092132072,50.36044332638177+6.821881769209206*I
22.39641977124714,48.17496281029658+6.821881769209206*I
21.51980583642022,47.95636482668441+6.821881769209206*I
61.61485039672826,51.9972596930816+6.821881769209206*I
79.27117275695349,52.731309801945656+6.821881769209206*I
34.29061579365859,50.05068317924061+6.821881769209206*I
57.41910934086101,51.78344043796472+6.821881769209206*I
96.35222785360057,53.2739104343193+6.821881769209206*I
78.05555162753203,52.68746550619508+6.821881769209206*I
64.03779793184029,52.11250402503485+6.821881769209206*I
81.53423864028139,52.81081968262925+6.821881769209206*I
71.20181214734424,52.423745088977114+6.821881769209206*I
61.44026400880111,51.988735645113366+6.821881769209206*I
69.38297765811058,52.3485171157753+6.821881769209206*I
53.874371463605854,51.586516215558675+6.821881769209206*I
33.683636558457266,49.983153148158735+6.821881769209206*I
23.97487054309218,48.524593642976235+6.821881769209206*I
11.476459672427296,43.211606474361055
54.08449531868695,51.59865396912139+6.821881769209206*I
12.030781359492693,41.76576435899638
83.7588313714241,52.88644326026397+6.821881769209206*I
49.39242101525869,51.311745585148486+6.821881769209206*I
18.597183639174375,47.03772277737917+6.821881769209206*I
26.422359833578767,48.98290998770146+6.821881769209206*I
4.160174257921341,47.066275432886904
32.14021251408957,49.80242805609131+6.821881769209206*I
39.08798779065472,50.5268400146382+6.821881769209206*I
99.33890208840793,53.35710855793971+6.821881769209206*I
66.16801213657078,52.209397898475906+6.821881769209206*I
60.47681147433195,51.941137805081716+6.821881769209206*I
46.56963173925658,51.12095627909851+6.821881769209206*I
53.5475057846549,51.56751134455032+6.821881769209206*I
75.61098742736124,52.596747138311876+6.821881769209206*I
96.45891407978101,53.27693387967357+6.821881769209206*I
37.67238963863707,50.39583788074782+6.821881769209206*I
98.44455155156061,53.33250420378665+6.821881769209206*I
81.67570413924935,52.81570179437743+6.821881769209206*I
17.99235583087078,46.79367229338831+6.821881769209206*I
52.39170422938233,51.49907007021075+6.821881769209206*I
28.541596822204184,49.31983000810721+6.821881769209206*I
16.134912943785864,45.83191225595216+6.821881769209206*I
84.84509089552753,52.922504277107905+6.821881769209206*I
8.229784884873268,45.99950656823137
38.826275910996486,50.50315095654662+6.821881769209206*I
2.4306432248241094,47.12925119247281
81.51908847918256,52.810296234720596+6.821881769209206*I
47.022913100537096,51.152635372519+6.821881769209206*I
21.694260823922406,48.00148060030508+6.821881769209206*I
86.56517935755775,52.97849805703346+6.821881769209206*I
85.1891074749156,52.93381030060837+6.821881769209206*I
92.04524677522838,53.14847101619928+6.821881769209206*I
10.94271187974887,44.03109721225772
55.11140699185458,51.65710091656302+6.821881769209206*I
57.990724907000725,51.81372599022608+6.821881769209206*I
68.85075915297332,52.326044056460745+6.821881769209206*I
81.57126243668421,52.81209838896509+6.821881769209206*I
98.77961932047046,53.341752575632604+6.821881769209206*I
67.05825864387978,52.2487463138554+6.821881769209206*I
83.19727550092614,52.867581811646154+6.821881769209206*I
33.24879120372955,49.93358722601977+6.821881769209206*I
61.11681632700777,51.972862291485065+6.821881769209206*I
93.88516914829142,53.20288255049427+6.821881769209206*I
98.62360406507057,53.337450873210685+6.821881769209206*I
69.68475722132106,52.36116563456184+6.821881769209206*I
85.6531997747019,52.948976867708225+6.821881769209206*I
41.20066616129995,50.70999168128903+6.821881769209206*I
75.54560707074069,52.5942722793492+6.821881769209206*I
57.99681331947113,51.81404650433606+6.821881769209206*I
85.71865902788264,52.951108220920545+6.821881769209206*I
43.484627660879426,50.893470418430965+6.821881769209206*I
3.3076709741177552,47.13702080474092
50.96916389961973,51.41204984739757+6.821881769209206*I
16.57897250228315,46.100229395273125+6.821881769209206*I
9.138860930086267,45.54374376042933
73.94694528388322,52.532935555629166+6.821881769209206*I
31.685693609678452,49.74652680396516+6.821881769209206*I
66.57186938534832,52.227329197133244+6.821881769209206*I
38.08174079999509,50.434457042743745+6.821881769209206*I
55.86251327427868,51.698961265131665+6.821881769209206*I
34.91385762530555,50.11811316866349+6.821881769209206*I
56.19464038334351,51.71723942726078+6.821881769209206*I
48.55904749052971,51.256982186252+6.821881769209206*I
93.09299384089002,53.17961056135207+6.821881769209206*I
62.44585759124527,52.037418887651334+6.821881769209206*I
65.25639898499568,52.16841639666547+6.821881769209206*I
5.3582220663321465,46.87585031381558
7.00836088939549,46.454856842994516
46.593075556391966,51.12260503319586+6.821881769209206*I
39.173550772615556,50.53453458205283+6.821881769209206*I
89.63862856322203,53.07533831149538+6.821881769209206*I
81.4716203025572,52.808655423843845+6.821881769209206*I
35.54162996907033,50.184182524374776+6.821881769209206*I
29.79611239748806,49.499201383978985+6.821881769209206*I
59.35120713448276,51.88429449999368+6.821881769209206*I
42.61701548524542,50.82541052753717+6.821881769209206*I
26.120040494203096,48.93078215096445+6.821881769209206*I
53.998429342512225,51.59368985071847+6.821881769209206*I
41.634606930343125,50.745945670122794+6.821881769209206*I
74.62378416440549,52.55909906634077+6.821881769209206*I
80.61355201606807,52.778795953834575+6.821881769209206*I
62.043749082752896,52.01807139291262+6.821881769209206*I
16.497486039653523,46.053247999657536+6.821881769209206*I
44.20124008892532,50.94826700259273+6.821881769209206*I
71.19249695841654,52.42336584207645+6.821881769209206*I
31.059244279395358,49.66729960802468+6.821881769209206*I
33.696452642439766,49.98459868564164+6.821881769209206*I
63.220538463958206,52.07425409452657+6.821881769209206*I
78.2118906983697,52.69315018851472+6.821881769209206*I
58.351145429620345,51.832625768272145+6.821881769209206*I
95.26415107100115,53.24284954878785+6.821881769209206*I
98.9514122708697,53.34648016492069+6.821881769209206*I
29.03248484141102,49.391608690391806+6.821881769209206*I
38.941808890113464,50.513637231214865+6.821881769209206*I
2.0463267779033742,47.08468675155395
41.25518107058207,50.71453810554178+6.821881769209206*I
12.776314040143433,39.16075226269713+6.821881769209206*I
17.487071578044294,46.568516708359454+6.821881769209206*I
73.05928623751441,52.49817720043802+6.821881769209206*I
71.0562981660863,52.41781385549584+6.821881769209206*I
78.78173785296553,52.71375518299274+6.821881769209206*I
80.83134175723552,52.78641066024928+6.821881769209206*I
2.0233164173118325,47.080854762952846
31.552782587841676,49.72993297728148+6.821881769209206*I
77.75635971216246,52.676548128831655+6.821881769209206*I
65.89591246346117,52.19723968781749+6.821881769209206*I
27.70186151116411,49.191880275669+6.821881769209206*I
17.196445781740238,46.428554646800215+6.821881769209206*I
21.188634818840683,47.868317683546245+6.821881769209206*I
61.10019066343145,51.972043506603136+6.821881769209206*I
84.90250015449655,52.92439480540735+6.821881769209206*I
24.155891325232986,48.56163426248453+6.821881769209206*I
82.36120036909159,52.83921647260741+6.821881769209206*I
89.74606587787497,53.078652251832146+6.821881769209206*I
72.5580319379169,52.478321008511195+6.821881769209206*I
8.78212915046663,45.73761340508371
20.109983407155923,47.556835899223174+6.821881769209206*I
19.202172123480835,47.25906434605545+6.821881769209206*I
9.663887624293338,45.21320467833053
78.80584828363894,52.714623025603444+6.821881769209206*I
13.764116649113106,43.34741214095038+6.821881769209206*I
0.4902589359633538,45.66266317868276
50.07353979081083,51.35559173410991+6.821881769209206*I
82.75453792216717,52.85260378428375+6.821881769209206*I
53.82852205964184,51.583859511609454+6.821881769209206*I
91.84453030750007,53.14245809089854+6.821881769209206*I
54.18060805872034,51.60418538798355+6.821881769209206*I
33.23308113718835,49.93177735208623+6.821881769209206*I
58.61849397418817,51.84654871502807+6.821881769209206*I
29.33334524256935,49.43457168224873+6.821881769209206*I
97.15377808225847,53.29653100016493+6.821881769209206*I
6.71575854991822,46.54391610409902
21.993503221836022,48.07694904706626+6.821881769209206*I
87.78556064916586,53.01743038564155+6.821881769209206*I
52.19883657642404,51.48745593628362+6.821881769209206*I
49.66374658643008,51.329308207088+6.821881769209206*I
22.132965455384905,48.11132830076778+6.821881769209206*I
65.2686055758069,52.16896984920669+6.821881769209206*I
32.60553524607627,49.858350397768156+6.821881769209206*I
0.04420856843732679,40.21456661252435
96.98776835389657,53.2918639659572+6.821881769209206*I
21.232777756001724,47.880241939280936+6.821881769209206*I
35.24506184876881,50.153195553790404+6.821881769209206*I
71.37132966145126,52.43063600377985+6.821881769209206*I
67.77481382915084,52.27994963679336+6.821881769209206*I
22.034292295697796,48.087055011024454+6.821881769209206*I
